"Study Name","Respondent Name","Gender","Age","Group","Type","Label","Start (ms)","Duration (ms)","Parent Stimulus","Count Frames","Anger Threshold","Anger Frames >= Threshold","Anger Time Percentage","Sadness Threshold","Sadness Frames >= Threshold","Sadness Time Percentage","Disgust Threshold","Disgust Frames >= Threshold","Disgust Time Percentage","Joy Threshold","Joy Frames >= Threshold","Joy Time Percentage","Surprise Threshold","Surprise Frames >= Threshold","Surprise Time Percentage","Fear Threshold","Fear Frames >= Threshold","Fear Time Percentage","Contempt Threshold","Contempt Frames >= Threshold","Contempt Time Percentage","Engagement Threshold","Engagement Frames >= Threshold","Engagement Time Percentage","Attention Threshold","Attention Frames >= Threshold","Attention Time Percentage","Positive Threshold","Positive Frames >= Threshold","Positive Time Percentage","Negative Threshold","Negative Frames <= Threshold","Negative Time Percentage","Neutral Threshold","Neutral Frames Between Threshold","Neutral Time Percentage","Brow Furrow Threshold","Brow Furrow Frames >= Threshold","Brow Furrow Time Percentage","Brow Raise Threshold","Brow Raise Frames >= Threshold","Brow Raise Time Percentage","Lip Corner Depressor Threshold","Lip Corner Depressor Frames >= Threshold","Lip Corner Depressor Time Percentage","Smile Threshold","Smile Frames >= Threshold","Smile Time Percentage","Inner Brow Raise Threshold","Inner Brow Raise Frames >= Threshold","Inner Brow Raise Time Percentage","Eye Closure Threshold","Eye Closure Frames >= Threshold","Eye Closure Time Percentage","Nose Wrinkle Threshold","Nose Wrinkle Frames >= Threshold","Nose Wrinkle Time Percentage","Upper Lip Raise Threshold","Upper Lip Raise Frames >= Threshold","Upper Lip Raise Time Percentage","Lip Suck Threshold","Lip Suck Frames >= Threshold","Lip Suck Time Percentage","Lip Press Threshold","Lip Press Frames >= Threshold","Lip Press Time Percentage","Mouth Open Threshold","Mouth Open Frames >= Threshold","Mouth Open Time Percentage","Chin Raise Threshold","Chin Raise Frames >= Threshold","Chin Raise Time Percentage","Smirk Threshold","Smirk Frames >= Threshold","Smirk Time Percentage","Lip Pucker Threshold","Lip Pucker Frames >= Threshold","Lip Pucker Time Percentage","Cheek Raise Threshold","Cheek Raise Frames >= Threshold","Cheek Raise Time Percentage","Dimpler Threshold","Dimpler Frames >= Threshold","Dimpler Time Percentage","Eye Widen Threshold","Eye Widen Frames >= Threshold","Eye Widen Time Percentage","Lid Tighten Threshold","Lid Tighten Frames >= Threshold","Lid Tighten Time Percentage","Lip Stretch Threshold","Lip Stretch Frames >= Threshold","Lip Stretch Time Percentage","Jaw Drop Threshold","Jaw Drop Frames >= Threshold","Jaw Drop Time Percentage"
"Hoteles Grupo 2","RESPONDENT1","Female","26","Default","Stimulus","VrboPage",62143,123763,"",3718,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",2391,64.31,"50",0,0,"-50",0,0,"-50|50",2391,64.31,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",8,0.22,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",16,0.43
"Hoteles Grupo 2","RESPONDENT1","Female","26","Default","Scene","Mapping Vrbo",63735,27454,"VrboPage",823,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",533,64.76,"50",0,0,"-50",0,0,"-50|50",533,64.76,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",5,0.61,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",16,1.94
"Hoteles Grupo 2","RESPONDENT1","Female","26","Default","Scene","Mapping 2",96465,31391,"VrboPage",941,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",600,63.76,"50",0,0,"-50",0,0,"-50|50",600,63.76,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",1,0.11,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0
"Hoteles Grupo 2","RESPONDENT1","Female","26","Default","Stimulus","HotelesPage",354873,94223,"",2830,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",1811,63.99,"50",0,0,"-50",30,1.06,"-50|50",1781,62.93,"50",0,0,"50",0,0,"50",31,1.1,"50",0,0,"50",0,0,"50",5,0.18,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",5,0.18,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0
"Hoteles Grupo 2","RESPONDENT1","Female","26","Default","Stimulus","AgodaPage",226215,97669,"",2934,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",1871,63.77,"50",0,0,"-50",0,0,"-50|50",1871,63.77,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",5,0.17,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0
"Hoteles Grupo 2","RESPONDENT1","Female","26","Default","Stimulus","VrboPage2",508141,115714,"",3477,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",2201,63.3,"50",0,0,"-50",0,0,"-50|50",2201,63.3,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",8,0.23,"50",0,0,"50",0,0,"50",0,0,"50",1,0.03,"50",0,0,"50",0,0,"50",0,0,"50",54,1.55,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",63,1.81
"Hoteles Grupo 2","RESPONDENT1","Female","26","Default","Stimulus","HotelesPage2",779420,65908,"",1980,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",1287,65,"50",0,0,"-50",0,0,"-50|50",1287,65,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",9,0.45,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0
"Hoteles Grupo 2","RESPONDENT1","Female","26","Default","Stimulus","AgodaPage2",654140,94417,"",2836,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",1859,65.55,"50",0,0,"-50",0,0,"-50|50",1859,65.55,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",9,0.32,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",19,0.67,"50",0,0
"Hoteles Grupo 2","RESPONDENT1","Female","26","Default","Stimulus","VrboPage3",897872,101907,"",3061,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",1978,64.62,"50",0,0,"-50",36,1.18,"-50|50",1942,63.44,"50",0,0,"50",0,0,"50",39,1.27,"50",0,0,"50",0,0,"50",7,0.23,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",81,2.65,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",72,2.35
"Hoteles Grupo 2","RESPONDENT1","Female","26","Default","Stimulus","HotelesPage3",1140887,94437,"",2836,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",1844,65.02,"50",0,0,"-50",0,0,"-50|50",1844,65.02,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",4,0.14,"50",0,0,"50",0,0,"50",5,0.18,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",3,0.11,"50",0,0,"50",0,0,"50",5,0.18,"50",18,0.63
