"Study Name","Respondent Name","Gender","Age","Group","Type","Label","Start (ms)","Duration (ms)","Signal Duration (ms)","Parent Stimulus","Has Peaks","Peak Count","Peaks Per Minute","Peak Detection Name"
"Hoteles Grupo 2","RESPONDENT1","Female",26,"Default","Stimulus","VrboPage",62143,123763,123763,"",1,1,0.48,"GSR Peaks (Shimmer)"
"Hoteles Grupo 2","RESPONDENT1","Female",26,"Default","Scene","Mapping Vrbo",63735,27454,27454,"VrboPage",1,1,2.19,"GSR Peaks (Shimmer)"
"Hoteles Grupo 2","RESPONDENT1","Female",26,"Default","Scene","Mapping 2",96465,31391,31391,"VrboPage",0,0,0,"GSR Peaks (Shimmer)"
"Hoteles Grupo 2","RESPONDENT1","Female",26,"Default","Stimulus","HotelesPage",354874,94224,94223,"",0,0,0,"GSR Peaks (Shimmer)"
"Hoteles Grupo 2","RESPONDENT1","Female",26,"Default","Stimulus","AgodaPage",226216,97670,97669,"",0,0,0,"GSR Peaks (Shimmer)"
"Hoteles Grupo 2","RESPONDENT1","Female",26,"Default","Stimulus","VrboPage2",508142,115715,115714,"",0,0,0,"GSR Peaks (Shimmer)"
"Hoteles Grupo 2","RESPONDENT1","Female",26,"Default","Stimulus","HotelesPage2",779420,65908,65908,"",1,1,0.91,"GSR Peaks (Shimmer)"
"Hoteles Grupo 2","RESPONDENT1","Female",26,"Default","Stimulus","AgodaPage2",654140,94417,94417,"",1,4,2.54,"GSR Peaks (Shimmer)"
"Hoteles Grupo 2","RESPONDENT1","Female",26,"Default","Stimulus","VrboPage3",897872,101908,101907,"",1,1,0.59,"GSR Peaks (Shimmer)"
"Hoteles Grupo 2","RESPONDENT1","Female",26,"Default","Stimulus","HotelesPage3",1140888,94437,94437,"",1,2,1.27,"GSR Peaks (Shimmer)"
"Hoteles Grupo 2","RESPONDENT1","Female",26,"Default","Stimulus","AgodaPage3",1030210,77961,77960,"",1,2,1.54,"GSR Peaks (Shimmer)"
"Hoteles Grupo 2","RESPONDENT2","Male",26,"Default","Stimulus","VrboPage",283868,149932,149932,"",1,8,3.2,"GSR Peaks (Shimmer)"
"Hoteles Grupo 2","RESPONDENT2","Male",26,"Default","Scene","Mapping Vrbo",283868,25318,25318,"VrboPage",1,2,4.74,"GSR Peaks (Shimmer)"
"Hoteles Grupo 2","RESPONDENT2","Male",26,"Default","Scene","Mapping 2",312783,27247,27247,"VrboPage",0,0,0,"GSR Peaks (Shimmer)"
"Hoteles Grupo 2","RESPONDENT2","Male",26,"Default","Stimulus","HotelesPage",492610,116767,116766,"",1,7,3.6,"GSR Peaks (Shimmer)"
